"Log ID",Date,Description,"Work Time (Formatted)","Work Time (Seconds)","Rest Time (Formatted)","Rest Time (Seconds)","Work Distance","Rest Distance","Stroke Rate/Cadence","Stroke Count",Pace,"Avg Watts",Cal/Hour,"Total Cal","Avg Heart Rate","Drag Factor",Age,Weight,Type,Ranked,Comments,"Date Entered"
93145986,"2024-10-20 22:05:00","20:37 row",20:37.2,1237.2,,,5013,,26,,2:03.3,186,941,326,156,140,31,Hwt,RowErg,No,,"2024-10-21 09:01:21"
93145985,"2024-10-20 20:03:00","2000m row",7:09.3,429.3,,,2000,,29,,1:47.3,283,1274,150,171,140,31,Hwt,RowErg,Yes,,"2024-10-21 09:01:21"
93145984,"2024-10-19 21:59:00","30:41 row",30:41.3,1841.3,,,7606,,25,,2:01.0,197,979,499,,219,31,Hwt,RowErg,No,,"2024-10-21 09:01:21"
93145983,"2024-10-18 19:53:00","24:42 row",24:42.8,1482.8,,,6060,,25,,2:02.3,191,957,396,165,214,31,Hwt,RowErg,No,,"2024-10-21 09:01:21"
93145982,"2024-10-18 18:07:00","5000m row",18:40.3,1120.3,,,5000,,26,,1:52.0,249,1156,358,173,215,31,Hwt,RowErg,No,,"2024-10-21 09:01:21"
93009100,"2024-10-15 21:04:00","5000m row",18:20.1,1100.1,,,5000,,27,,1:50.0,263,1204,366,178,216,31,Hwt,RowErg,Yes,,"2024-10-16 16:35:08"
93009099,"2024-10-14 23:12:00","23:59 row",23:59.8,1439.8,,,6008,,25,,1:59.8,203,1000,397,167,216,31,Hwt,RowErg,No,,"2024-10-16 16:35:07"
93009098,"2024-10-14 22:43:00","2:53 row",2:53.0,173,,,776,,27,,1:51.4,253,1169,58,,218,31,Hwt,RowErg,No,,"2024-10-16 16:35:07"
92848379,"2024-10-11 22:00:00","10000m row",38:49.2,2329.2,,,10000,,25,,1:56.4,222,1062,685,178,219,31,Hwt,RowErg,Yes,,"2024-10-11 20:07:54"
92848378,"2024-10-10 21:35:00","5000m row",18:38.7,1118.7,,,5000,,26,,1:51.8,250,1160,358,177,217,31,Hwt,RowErg,No,,"2024-10-11 20:07:53"
92848377,"2024-10-09 19:38:00","5000m row",18:53.8,1133.8,,,5000,,26,,1:53.3,240,1126,355,178,211,31,Hwt,RowErg,No,,"2024-10-11 20:07:53"
92848376,"2024-10-07 21:55:00","59:58 row",59:58.6,3598.6,,,13073,,23,,2:17.6,134,762,769,,212,31,Hwt,RowErg,No,,"2024-10-11 20:07:53"
92848375,"2024-10-07 20:19:00","5000m row",18:37.6,1117.6,,,5000,,26,,1:51.7,251,1162,360,179,215,31,Hwt,RowErg,No,,"2024-10-11 20:07:53"
92569749,"2024-10-03 19:10:00","5000m row",18:28.2,1108.2,,,5000,,26,,1:50.8,257,1185,363,181,216,31,Hwt,RowErg,No,,"2024-10-03 17:23:52"
92569748,"2024-10-01 19:46:00","5000m row",18:35.0,1115,,,5000,,26,,1:51.5,252,1168,361,181,215,31,Hwt,RowErg,No,,"2024-10-03 17:23:52"
92569747,"2024-09-29 17:33:00","5000m row",18:40.7,1120.7,,,5000,,26,,1:52.0,249,1155,357,179,217,31,Hwt,RowErg,No,,"2024-10-03 17:23:52"
92569746,"2024-09-28 16:03:00","41:01 row",41:01.0,2461,,,10015,,25,,2:02.8,189,949,645,168,193,31,Hwt,RowErg,No,,"2024-10-03 17:23:52"
92360463,"2024-09-27 18:13:00","5000m row",18:42.0,1122,,,5000,,26,,1:52.2,248,1152,356,179,217,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360462,"2024-09-26 20:14:00","5000m row",18:48.7,1128.7,,,5000,,26,,1:52.8,243,1137,354,181,214,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360461,"2024-09-24 20:06:00","5000m row",18:56.1,1136.1,,,5000,,26,,1:53.6,239,1121,352,179,216,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360460,"2024-09-22 19:38:00","5000m row",19:17.5,1157.5,,,5000,,26,,1:55.7,226,1076,344,184,214,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360459,"2024-09-22 13:30:00","5000m row",18:58.0,1138,,,5000,,26,,1:53.8,237,1117,350,188,214,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360458,"2024-09-21 16:28:00","14:24 row",14:24.5,864.5,,,3521,,24,,2:02.7,189,951,226,174,215,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360457,"2024-09-21 14:03:00","5000m row",19:01.9,1141.9,,,5000,,26,,1:54.1,235,1108,348,182,216,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360456,"2024-09-21 13:42:00","0:09 row",0:09.4,9.4,,,5,,6,,15:40.0,,301,1,,88,31,Hwt,RowErg,No,,"2024-09-27 17:24:39"
92360455,"2024-09-20 19:35:00","5000m row",19:49.3,1189.3,,,5000,,25,,1:58.9,208,1016,344,181,216,31,Hwt,RowErg,No,,"2024-09-27 17:24:38"
92360454,"2024-09-20 19:15:00","0:13 row",0:13.7,13.7,,,38,,16,,3:00.2,60,505,2,111,217,31,Hwt,RowErg,No,,"2024-09-27 17:24:38"
91368537,"2024-08-28 11:45:00","5000m row",18:48.0,1128,,,5000,,27,,1:52.8,244,1139,354,183,200,31,Hwt,RowErg,No,,"2024-08-28 10:08:48"
91368536,"2024-08-25 16:02:00","10000m row",42:56.3,2576.3,,,10000,,24,,2:08.8,164,863,632,163,175,30,Hwt,RowErg,No,,"2024-08-28 10:08:48"
91368535,"2024-08-24 14:00:00","5000m row",18:53.5,1133.5,,,5000,,27,,1:53.3,240,1127,353,179,196,30,Hwt,RowErg,No,,"2024-08-28 10:08:48"
91368534,"2024-08-23 19:05:00","5000m row",18:56.2,1136.2,,,5000,,27,,1:53.6,239,1121,352,180,195,30,Hwt,RowErg,No,,"2024-08-28 10:08:48"
91368533,"2024-08-22 17:35:00","5000m row",19:28.5,1168.5,,,5000,,26,,1:56.8,219,1054,341,,198,30,Hwt,RowErg,No,,"2024-08-28 10:08:47"
91122904,"2024-08-20 17:08:00","5000m row",18:58.0,1138,,,5000,,26,,1:53.8,237,1117,351,181,194,30,Hwt,RowErg,No,,"2024-08-20 20:02:20"
91122903,"2024-08-18 13:10:00","5000m row",19:38.5,1178.5,,,5000,,26,,1:57.8,214,1035,336,172,195,30,Hwt,RowErg,No,,"2024-08-20 20:02:19"
91122902,"2024-08-16 19:36:00","5000m row",19:09.1,1149.1,,,5000,,26,,1:54.9,231,1093,347,183,195,30,Hwt,RowErg,No,,"2024-08-20 20:02:19"
